Make,Model,per.Accident.Uninjured,per.A.Minor.Injuries,per.A.Serious.Injuries,per.Accident.Deaths,Aircraft.Accidents,Aircraft.Observations,per.Accident.Severity,Total.Severity,Total.Aircraft.Deaths,Accident.Rate,Mortality.Rate,Survival.Rate,Aircraft
PIPER,PA-38-112,1.0534188034188035,0.16880341880341881,0.20726495726495728,0.20726495726495728,464,468,1.8269230769230769,847.6923076923076,96.17094017094017,0.9914529914529915,0.12663185378590075,0.8733681462140992,PIPER PA-38-112
PIPER,PA-24-250,1.0369318181818181,0.28125,0.4971590909090909,0.4971590909090909,349,352,4.2585227272727275,1486.224431818182,173.50852272727272,0.9914772727272727,0.214987714987715,0.785012285012285,PIPER PA-24-250
CESSNA,150,0.9203860072376358,0.24607961399276237,0.15319662243667068,0.15319662243667068,822,829,1.4716525934861278,1209.698431845597,125.9276236429433,0.991556091676719,0.10401310401310403,0.895986895986896,CESSNA 150
PIPER,PA-32-300,1.5224719101123596,0.38764044943820225,0.6095505617977528,0.6095505617977528,353,356,5.264044943820225,1858.2078651685395,215.17134831460675,0.9915730337078652,0.19479353680430878,0.8052064631956912,PIPER PA-32-300
CESSNA,210,1.226923076923077,0.2692307692307692,0.4230769230769231,0.4230769230769231,258,260,3.6538461538461537,942.6923076923076,109.15384615384615,0.9923076923076923,0.180623973727422,0.819376026272578,CESSNA 210
CESSNA,152,0.9991546914623838,0.1779374471682164,0.16483516483516483,0.16483516483516483,2348,2366,1.4966187658495351,3514.0608622147083,387.032967032967,0.9923922231614539,0.1093969144460028,0.8906030855539973,CESSNA 152
PIPER,PA-28-181,1.2155009451795842,0.34782608695652173,0.718336483931947,0.718336483931947,525,529,6.094517958412098,3199.6219281663516,377.1266540642722,0.9924385633270322,0.23944549464398235,0.7605545053560177,PIPER PA-28-181
PIPER,PA-28-161,1.2106194690265486,0.2761061946902655,0.39469026548672564,0.39469026548672564,561,565,3.433628318584071,1926.2654867256638,221.42123893805308,0.9929203539823008,0.17340590979782272,0.8265940902021773,PIPER PA-28-161
CESSNA,A185F,1.5228070175438597,0.1824561403508772,0.28771929824561404,0.28771929824561404,283,285,2.4842105263157896,703.0315789473684,81.42456140350878,0.9929824561403509,0.12615384615384617,0.8738461538461538,CESSNA A185F
CESSNA,A188B,0.6289308176100629,0.14150943396226415,0.1289308176100629,0.1289308176100629,316,318,1.1729559748427674,370.6540880503145,40.742138364779876,0.9937106918238994,0.1253822629969419,0.8746177370030581,CESSNA A188B
CESSNA,172M,1.3721804511278195,0.30952380952380953,0.30451127819548873,0.30451127819548873,793,798,2.745614035087719,2177.271929824561,241.47744360902257,0.993734335839599,0.13293216630196936,0.8670678336980306,CESSNA 172M
CESSNA,172P,1.2438316400580551,0.3062409288824383,0.3454281567489115,0.3454281567489115,685,689,3.06966618287373,2102.7213352685053,236.61828737300436,0.9941944847605225,0.15414507772020725,0.8458549222797928,CESSNA 172P
CESSNA,172,1.2835139760410725,0.22304620650313747,0.22703936109526526,0.22703936109526526,1744,1753,2.0393610952652597,3556.645750142613,395.9566457501426,0.9948659440958357,0.11579866162350885,0.8842013383764912,CESSNA 172
CESSNA,150L,0.7804347826086957,0.2673913043478261,0.27391304347826084,0.27391304347826084,458,460,2.458695652173913,1126.0826086956522,125.45217391304347,0.9956521739130435,0.17166212534059944,0.8283378746594006,CESSNA 150L
ROBINSON,R22,0.9484978540772532,0.1888412017167382,0.3261802575107296,0.3261802575107296,232,233,2.7982832618025753,649.2017167381974,75.67381974248927,0.9957081545064378,0.18225419664268583,0.8177458033573142,ROBINSON R22
CESSNA,T210N,1.3114754098360655,0.4344262295081967,0.5532786885245902,0.5532786885245902,243,244,4.860655737704918,1181.139344262295,134.44672131147541,0.9959016393442623,0.19396551724137936,0.8060344827586207,CESSNA T210N
CESSNA,150H,0.7591836734693878,0.3020408163265306,0.1836734693877551,0.1836734693877551,244,245,1.7714285714285714,432.2285714285714,44.816326530612244,0.9959183673469387,0.1285714285714286,0.8714285714285714,CESSNA 150H
PIPER,PA-25-235,0.5291828793774319,0.22568093385214008,0.14785992217898833,0.14785992217898833,256,257,1.4085603112840468,360.591439688716,37.85214007782101,0.9961089494163424,0.14074074074074075,0.8592592592592593,PIPER PA-25-235
BELL,206B,1.12015503875969,0.42248062015503873,0.4786821705426357,0.4786821705426357,514,516,4.251937984496124,2185.4961240310076,246.04263565891475,0.9961240310077519,0.19147286821705428,0.8085271317829457,BELL 206B
