Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident
TAYLORCRAFT BC12D,15,15,0.0,0.0,1.0,21.0,TAYLORCRAFT,0.0
BELL 206L-3,15,15,8.0,8.0,8.0,27.0,BELL,0.5333333333333333
PIPER PA-18-125,15,15,9.0,9.0,2.0,10.0,PIPER,0.6
PIPER PA-18-180,15,15,2.0,2.0,1.0,20.0,PIPER,0.13333333333333333
BEECH 35-33,15,15,10.0,10.0,2.0,13.0,BEECH,0.6666666666666666
DIAMOND AIRCRAFT IND INC DA 20-C1,15,14,2.0,2.0,4.0,12.0,DIAMOND AIRCRAFT IND INC,0.14285714285714285
CESSNA 180D,15,15,2.0,2.0,3.0,23.0,CESSNA,0.13333333333333333
DIAMOND DA20,15,15,1.0,1.0,5.0,19.0,DIAMOND,0.06666666666666667
FLIGHT DESIGN CTSW,15,15,2.0,2.0,1.0,14.0,FLIGHT DESIGN,0.13333333333333333
I.C.A. BRASOV IS-28B2,15,15,2.0,2.0,3.0,12.0,I.C.A. BRASOV,0.13333333333333333
ENSTROM F-28F,14,14,2.0,2.0,8.0,12.0,ENSTROM,0.14285714285714285
BEECH 65-A90,14,14,11.0,11.0,2.0,31.0,BEECH,0.7857142857142857
CESSNA 185A,14,14,4.0,4.0,1.0,22.0,CESSNA,0.2857142857142857
PIPER PA 28R-200,14,14,4.0,4.0,2.0,19.0,PIPER,0.2857142857142857
CESSNA T182,14,14,6.0,6.0,1.0,14.0,CESSNA,0.42857142857142855
AEROTEK PITTS S-2A,14,14,9.0,9.0,3.0,17.0,AEROTEK,0.6428571428571429
CESSNA 402,14,14,12.0,12.0,0.0,27.0,CESSNA,0.8571428571428571
TAYLORCRAFT BL-65,14,14,3.0,3.0,8.0,9.0,TAYLORCRAFT,0.21428571428571427
BELL 47G2,14,14,3.0,3.0,5.0,14.0,BELL,0.21428571428571427
BEECH F33,14,14,11.0,11.0,0.0,19.0,BEECH,0.7857142857142857
BURKHART GROB G103,14,14,0.0,0.0,3.0,16.0,BURKHART GROB,0.0
SCHWEIZER SGS 2-33,14,14,0.0,0.0,3.0,13.0,SCHWEIZER,0.0
AERONCA 11BC,14,14,1.0,1.0,3.0,14.0,AERONCA,0.07142857142857142
CIRRUS DESIGN CORP SR22T,14,13,6.0,6.0,4.0,17.0,CIRRUS DESIGN CORP,0.46153846153846156
AMERICAN AA-1A,14,14,9.0,9.0,8.0,4.0,AMERICAN,0.6428571428571429
BEECH E55,14,14,10.0,10.0,3.0,9.0,BEECH,0.7142857142857143
PIPER PA-60-602P,14,14,9.0,9.0,1.0,7.0,PIPER,0.6428571428571429
PIPER PA 22,14,14,0.0,0.0,0.0,18.0,PIPER,0.0
NORTH AMERICAN P-51D,14,14,10.0,10.0,3.0,14.0,NORTH AMERICAN,0.7142857142857143
ROBINSON R22 BETA II,14,14,4.0,4.0,5.0,14.0,ROBINSON,0.2857142857142857
AMERICAN CHAMPION AIRCRAFT 7GCBC,14,14,5.0,5.0,2.0,15.0,AMERICAN CHAMPION AIRCRAFT,0.35714285714285715
AMERICAN CHAMPION AIRCRAFT 8GCBC,14,14,1.0,1.0,2.0,13.0,AMERICAN CHAMPION AIRCRAFT,0.07142857142857142
PIPER PA28-180,14,14,1.0,1.0,3.0,20.0,PIPER,0.07142857142857142
CESSNA 310P,14,14,4.0,4.0,3.0,24.0,CESSNA,0.2857142857142857
BEECH BE-76,14,14,8.0,8.0,3.0,18.0,BEECH,0.5714285714285714
CESSNA AIRCRAFT CO 162,14,14,1.0,1.0,2.0,11.0,CESSNA AIRCRAFT CO,0.07142857142857142
CIRRUS DESIGN CORP. SR-22,14,13,7.0,7.0,0.0,24.0,CIRRUS DESIGN CORP.,0.5384615384615384
PIPER PA-46,14,13,8.0,8.0,4.0,62.0,PIPER,0.6153846153846154
MAULE M-7-235C,14,14,1.0,1.0,1.0,18.0,MAULE,0.07142857142857142
CESSNA 310B,14,14,5.0,5.0,0.0,27.0,CESSNA,0.35714285714285715
CESSNA 180F,14,14,5.0,5.0,1.0,17.0,CESSNA,0.35714285714285715
VANS RV6,14,14,6.0,6.0,7.0,2.0,VANS,0.42857142857142855
MAULE M-5-180C,14,14,3.0,3.0,1.0,23.0,MAULE,0.21428571428571427
BEECH B55,14,14,8.0,8.0,1.0,31.0,BEECH,0.5714285714285714
CESSNA 172Q,14,14,1.0,1.0,4.0,25.0,CESSNA,0.07142857142857142
QUAD CITY CHALLENGER,13,13,6.0,6.0,6.0,3.0,QUAD CITY,0.46153846153846156
PIPER PA23,13,13,8.0,8.0,1.0,12.0,PIPER,0.6153846153846154
THORP T-18,13,13,9.0,9.0,5.0,6.0,THORP,0.6923076923076923
SCHWEIZER SGS 2-32,13,13,2.0,2.0,4.0,15.0,SCHWEIZER,0.15384615384615385
TAYLORCRAFT BC-65,13,13,5.0,5.0,4.0,9.0,TAYLORCRAFT,0.38461538461538464
TAYLORCRAFT BC12-65,13,13,3.0,3.0,2.0,12.0,TAYLORCRAFT,0.23076923076923078
CZECH AIRCRAFT WORKS SPOL SRO SPORTCRUISER,13,13,1.0,1.0,1.0,10.0,CZECH AIRCRAFT WORKS SPOL SRO,0.07692307692307693
AMERICAN LEGEND AIRCRAFT CO AL3,13,13,0.0,0.0,2.0,15.0,AMERICAN LEGEND AIRCRAFT CO,0.0
