Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident,Accident.Severity
PIPER PA-32RT-300T,73,71,39.0,39.0,21.0,64.0,PIPER,0.5492957746478874,Medium
CESSNA 182L,72,72,27.0,27.0,21.0,84.0,CESSNA,0.375,Medium
ERCOUPE (ENG & RESEARCH CORP.) 415-C,72,72,16.0,16.0,23.0,62.0,ERCOUPE (ENG & RESEARCH CORP.),0.2222222222222222,Medium
CESSNA 310,72,71,39.0,39.0,16.0,108.0,CESSNA,0.5492957746478874,Medium
CESSNA 182R,71,71,48.0,48.0,14.0,74.0,CESSNA,0.676056338028169,High
CESSNA 182B,70,70,39.0,39.0,20.0,75.0,CESSNA,0.5571428571428572,Medium
CESSNA 185F,70,69,10.0,10.0,17.0,102.0,CESSNA,0.14492753623188406,Low
LAKE LA-4-200,70,69,17.0,17.0,27.0,71.0,LAKE,0.2463768115942029,Medium
CESSNA 182N,69,69,25.0,25.0,22.0,89.0,CESSNA,0.36231884057971014,Medium
CESSNA 182E,68,68,29.0,29.0,18.0,90.0,CESSNA,0.4264705882352941,Medium
PIPER PA-31-350,68,64,57.0,57.0,16.0,140.0,PIPER,0.890625,High
PIPER PA-32R-301,67,66,72.0,72.0,14.0,78.0,PIPER,1.0909090909090908,High
PIPER PA-28-160,67,67,28.0,28.0,16.0,64.0,PIPER,0.417910447761194,Medium
SCHWEIZER SGS 2-33A,66,66,1.0,1.0,19.0,70.0,SCHWEIZER,0.015151515151515152,Low
CESSNA 172B,66,65,12.0,12.0,20.0,78.0,CESSNA,0.18461538461538463,Medium
CESSNA 182K,65,65,12.0,12.0,23.0,80.0,CESSNA,0.18461538461538463,Medium
CESSNA 310R,65,65,60.0,60.0,19.0,77.0,CESSNA,0.9230769230769231,High
CESSNA 182H,65,65,21.0,21.0,28.0,78.0,CESSNA,0.3230769230769231,Medium
GLOBE GC-1B,65,65,19.0,19.0,14.0,54.0,GLOBE,0.2923076923076923,Medium
CESSNA 182M,65,65,22.0,22.0,13.0,91.0,CESSNA,0.3384615384615385,Medium
PIPER PA-28RT-201T,64,64,25.0,25.0,15.0,81.0,PIPER,0.390625,Medium
HUGHES 369D,64,64,16.0,16.0,19.0,89.0,HUGHES,0.25,Medium
PIPER PA-28RT-201,64,62,49.0,49.0,17.0,69.0,PIPER,0.7903225806451613,High
PIPER PA-46-350P,63,62,44.0,44.0,10.0,95.0,PIPER,0.7096774193548387,High
PIPER J-3,63,62,9.0,9.0,21.0,64.0,PIPER,0.14516129032258066,Low
PIPER PA-23-160,63,63,29.0,29.0,19.0,64.0,PIPER,0.4603174603174603,Medium
CESSNA 310Q,62,62,42.0,42.0,7.0,83.0,CESSNA,0.6774193548387096,High
BEECH S35,62,62,61.0,61.0,35.0,48.0,BEECH,0.9838709677419355,High
ROBINSON R-22B,62,62,6.0,6.0,21.0,73.0,ROBINSON,0.0967741935483871,Low
BEECH 76,61,61,21.0,21.0,16.0,81.0,BEECH,0.3442622950819672,Medium
BEECH C24R,61,59,27.0,27.0,19.0,68.0,BEECH,0.4576271186440678,Medium
MAULE M-5-235C,61,61,18.0,18.0,14.0,88.0,MAULE,0.29508196721311475,Medium
PIPER PA-11,60,60,14.0,14.0,18.0,47.0,PIPER,0.23333333333333334,Medium
