Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident,Accident.Severity
TAYLORCRAFT BC-65,13,13,5.0,5.0,4.0,9.0,TAYLORCRAFT,0.38461538461538464,Medium
TAYLORCRAFT BC12-65,13,13,3.0,3.0,2.0,12.0,TAYLORCRAFT,0.23076923076923078,Medium
CZECH AIRCRAFT WORKS SPOL SRO SPORTCRUISER,13,13,1.0,1.0,1.0,10.0,CZECH AIRCRAFT WORKS SPOL SRO,0.07692307692307693,Low
AMERICAN LEGEND AIRCRAFT CO AL3,13,13,0.0,0.0,2.0,15.0,AMERICAN LEGEND AIRCRAFT CO,0.0,Low
PIPER PA 22-150,13,13,4.0,4.0,4.0,13.0,PIPER,0.3076923076923077,Medium
CESSNA TU206,13,13,7.0,7.0,3.0,20.0,CESSNA,0.5384615384615384,Medium
SIKORSKY S-76A,13,12,2.0,2.0,17.0,29.0,SIKORSKY,0.16666666666666666,Low
CHAMPION 7GC,13,13,0.0,0.0,0.0,19.0,CHAMPION,0.0,Low
BELLANCA 14-13-2,13,13,1.0,1.0,6.0,13.0,BELLANCA,0.07692307692307693,Low
BEECH 33,13,13,5.0,5.0,6.0,15.0,BEECH,0.38461538461538464,Medium
CESSNA 210F,13,13,3.0,3.0,8.0,11.0,CESSNA,0.23076923076923078,Medium
CESSNA T210R,13,11,6.0,6.0,9.0,12.0,CESSNA,0.5454545454545454,Medium
GRUMMAN AA-1C,13,13,1.0,1.0,4.0,17.0,GRUMMAN,0.07692307692307693,Low
PIPER PA46-500TP,13,13,11.0,11.0,0.0,24.0,PIPER,0.8461538461538461,High
CESSNA 421A,13,13,19.0,19.0,4.0,19.0,CESSNA,1.4615384615384615,High
AVIAT AIRCRAFT INC A-1C-180,13,13,1.0,1.0,2.0,12.0,AVIAT AIRCRAFT INC,0.07692307692307693,Low
MAULE M7,12,12,1.0,1.0,1.0,11.0,MAULE,0.08333333333333333,Low
CESSNA 210C,12,12,3.0,3.0,3.0,14.0,CESSNA,0.25,Medium
BELLANCA 14-19-3A,12,12,14.0,14.0,1.0,7.0,BELLANCA,1.1666666666666667,High
CESSNA 310F,12,12,4.0,4.0,5.0,13.0,CESSNA,0.3333333333333333,Medium
CESSNA 310G,12,12,11.0,11.0,3.0,11.0,CESSNA,0.9166666666666666,High
EIPPER QUICKSILVER MX,12,12,7.0,7.0,0.0,0.0,EIPPER,0.5833333333333334,Medium
PIPER PA-28-140B,12,12,0.0,0.0,10.0,13.0,PIPER,0.0,Low
BEECH B-19,12,12,1.0,1.0,2.0,14.0,BEECH,0.08333333333333333,Low
BEECH A45,12,12,11.0,11.0,2.0,4.0,BEECH,0.9166666666666666,High
CIRRUS DESIGN CORP. SR20,12,10,10.0,10.0,1.0,10.0,CIRRUS DESIGN CORP.,1.0,High
BEECH B100,12,11,11.0,11.0,0.0,20.0,BEECH,1.0,High
ERCOUPE (ENG & RESEARCH CORP.) 415-D,12,12,5.0,5.0,7.0,5.0,ERCOUPE (ENG & RESEARCH CORP.),0.4166666666666667,Medium
BEECH A60,12,11,18.0,18.0,0.0,10.0,BEECH,1.6363636363636365,High
HELIO H-250,12,12,2.0,2.0,2.0,25.0,HELIO,0.16666666666666666,Low
GRUMMAN AA1B,12,12,2.0,2.0,8.0,9.0,GRUMMAN,0.16666666666666666,Low
PIPER PA-601P,12,11,13.0,13.0,1.0,10.0,PIPER,1.1818181818181819,High
CESSNA A188B,12,12,1.0,1.0,0.0,11.0,CESSNA,0.08333333333333333,Low
CESSNA 650,12,10,0.0,0.0,0.0,191.0,CESSNA,0.0,Low
BEECH D18S,12,12,11.0,11.0,4.0,14.0,BEECH,0.9166666666666666,High
PIPER PA 32-300,12,12,3.0,3.0,1.0,21.0,PIPER,0.25,Medium
BEECH F-33A,12,12,7.0,7.0,7.0,9.0,BEECH,0.5833333333333334,Medium
ENSTROM 280FX,12,12,4.0,4.0,1.0,14.0,ENSTROM,0.3333333333333333,Medium
AERO COMMANDER 200D,12,12,2.0,2.0,2.0,9.0,AERO COMMANDER,0.16666666666666666,Low
HUGHES 369E,12,12,0.0,0.0,6.0,20.0,HUGHES,0.0,Low
PIPER PA-17,12,12,2.0,2.0,0.0,15.0,PIPER,0.16666666666666666,Low
VANS RV4,12,12,5.0,5.0,4.0,5.0,VANS,0.4166666666666667,Medium
CESSNA 320D,12,12,31.0,31.0,0.0,4.0,CESSNA,2.5833333333333335,High
PIPER PA-44-180T,12,12,3.0,3.0,3.0,23.0,PIPER,0.25,Medium
CESSNA 320E,12,12,12.0,12.0,5.0,4.0,CESSNA,1.0,High
PIPER PA-22-20,11,11,2.0,2.0,5.0,10.0,PIPER,0.18181818181818182,Medium
VANS RV8,11,11,4.0,4.0,2.0,8.0,VANS,0.36363636363636365,Medium
BOEING STEARMAN A75N1,11,11,2.0,2.0,3.0,16.0,BOEING STEARMAN,0.18181818181818182,Medium
DIAMOND AIRCRAFT IND INC DA 20 C1,11,11,0.0,0.0,0.0,16.0,DIAMOND AIRCRAFT IND INC,0.0,Low
AMERICAN AVIATION CORP. (AAC) AA-1A,11,11,5.0,5.0,5.0,6.0,AMERICAN AVIATION CORP. (AAC),0.45454545454545453,Medium
NAVION G,11,11,7.0,7.0,4.0,3.0,NAVION,0.6363636363636364,High
BEECH B95,11,11,12.0,12.0,1.0,10.0,BEECH,1.0909090909090908,High
BEECH B60,11,10,11.0,11.0,0.0,12.0,BEECH,1.1,High
SCHWEIZER 2-33A,11,11,0.0,0.0,2.0,10.0,SCHWEIZER,0.0,Low
BRANTLY B-2B,11,11,4.0,4.0,3.0,7.0,BRANTLY,0.36363636363636365,Medium
CESSNA 320C,11,11,12.0,12.0,0.0,17.0,CESSNA,1.0909090909090908,High
CESSNA T210G,11,11,9.0,9.0,6.0,9.0,CESSNA,0.8181818181818182,High
SWEARINGEN SA-226T,11,11,1.0,1.0,1.0,35.0,SWEARINGEN,0.09090909090909091,Low
FLIGHT DESIGN CTLS,11,10,1.0,1.0,3.0,9.0,FLIGHT DESIGN,0.1,Low
BLANIK L-13,11,11,1.0,1.0,5.0,10.0,BLANIK,0.09090909090909091,Low
MCDONNELL DOUGLAS 369E,11,11,4.0,4.0,6.0,7.0,MCDONNELL DOUGLAS,0.36363636363636365,Medium
AVIAT A-1A,11,10,1.0,1.0,2.0,11.0,AVIAT,0.1,Low
CHRISTEN INDUSTRIES A-1,11,11,1.0,1.0,0.0,13.0,CHRISTEN INDUSTRIES,0.09090909090909091,Low
CESSNA C172,11,11,0.0,0.0,4.0,15.0,CESSNA,0.0,Low
PITTS S2B,11,11,2.0,2.0,1.0,11.0,PITTS,0.18181818181818182,Medium
CHRISTEN INDUSTRIES PITTS S-2B,11,11,8.0,8.0,0.0,12.0,CHRISTEN INDUSTRIES,0.7272727272727273,High
BRANTLY HELICOPTER B-2,11,11,3.0,3.0,4.0,10.0,BRANTLY HELICOPTER,0.2727272727272727,Medium
CESSNA 337D,11,10,6.0,6.0,1.0,19.0,CESSNA,0.6,High
BOEING E75N1,11,11,2.0,2.0,4.0,13.0,BOEING,0.18181818181818182,Medium
CESSNA 337B,11,10,3.0,3.0,1.0,14.0,CESSNA,0.3,Medium
MOONEY M20G,11,11,2.0,2.0,7.0,8.0,MOONEY,0.18181818181818182,Medium
CESSNA 310H,11,11,21.0,21.0,2.0,5.0,CESSNA,1.9090909090909092,High
PIPER PA-30B,11,11,5.0,5.0,1.0,13.0,PIPER,0.45454545454545453,Medium
SCHWEIZER SGS 1-26B,11,11,3.0,3.0,1.0,6.0,SCHWEIZER,0.2727272727272727,Medium
ENSTROM F28C,11,10,4.0,4.0,3.0,4.0,ENSTROM,0.4,Medium
RAVEN S-60A,11,11,1.0,1.0,8.0,22.0,RAVEN,0.09090909090909091,Low
DIAMOND AIRCRAFT INDUSTRIES DA 20-A1,11,11,0.0,0.0,7.0,9.0,DIAMOND AIRCRAFT INDUSTRIES,0.0,Low
QUICKIE Q2,11,11,1.0,1.0,2.0,7.0,QUICKIE,0.09090909090909091,Low
SOCATA TB-20,11,11,6.0,6.0,5.0,8.0,SOCATA,0.5454545454545454,Medium
SCHLEICHER ASK-21,11,11,4.0,4.0,2.0,14.0,SCHLEICHER,0.36363636363636365,Medium
NORTH AMERICAN AT-6G,11,11,0.0,0.0,3.0,15.0,NORTH AMERICAN,0.0,Low
PIPER PA28-161,11,11,10.0,10.0,2.0,10.0,PIPER,0.9090909090909091,High
ROBINSON R-22A,11,11,1.0,1.0,1.0,13.0,ROBINSON,0.09090909090909091,Low
CZECH SPORT AIRCRAFT AS PIPER SPORT,11,11,4.0,4.0,3.0,7.0,CZECH SPORT AIRCRAFT AS,0.36363636363636365,Medium
PIPER PA32-300,10,10,9.0,9.0,3.0,9.0,PIPER,0.9,High
VANS AIRCRAFT INC RV-12,10,10,4.0,4.0,0.0,7.0,VANS AIRCRAFT INC,0.4,Medium
AVIAT PITTS S-2B,10,10,3.0,3.0,1.0,12.0,AVIAT,0.3,Medium
AERO COMMANDER 500,10,10,4.0,4.0,1.0,13.0,AERO COMMANDER,0.4,Medium
CESSNA 401A,10,10,8.0,8.0,4.0,16.0,CESSNA,0.8,High
VANS RV 6,10,10,2.0,2.0,2.0,8.0,VANS,0.2,Medium
PIPER PA-18-105,10,10,0.0,0.0,0.0,14.0,PIPER,0.0,Low
CIRRUS SR-22,10,10,15.0,15.0,0.0,6.0,CIRRUS,1.5,High
PIPER PA-18A 150,10,10,0.0,0.0,0.0,14.0,PIPER,0.0,Low
MAULE MX-7-180,10,10,0.0,0.0,2.0,14.0,MAULE,0.0,Low
BEECH E33,10,10,5.0,5.0,1.0,15.0,BEECH,0.5,Medium
MAULE M-7-235B,10,10,0.0,0.0,1.0,18.0,MAULE,0.0,Low
PIPER PA-22/20,10,10,0.0,0.0,0.0,13.0,PIPER,0.0,Low
ARTIC AIRCRAFT CORP. S-1B2,10,10,4.0,4.0,0.0,10.0,ARTIC AIRCRAFT CORP.,0.4,Medium
BELL 206B3,10,10,0.0,0.0,5.0,19.0,BELL,0.0,Low
HOWARD AIRCRAFT CORP. DGA-15P,10,10,0.0,0.0,0.0,23.0,HOWARD AIRCRAFT CORP.,0.0,Low
AERONCA O-58B,10,10,4.0,4.0,2.0,3.0,AERONCA,0.4,Medium
PIPER PA-28-200,10,10,6.0,6.0,8.0,8.0,PIPER,0.6,High
CESSNA 210J,10,10,2.0,2.0,4.0,8.0,CESSNA,0.2,Medium
CESSNA 210H,10,10,13.0,13.0,2.0,6.0,CESSNA,1.3,High
SMITH AEROSTAR 601P,10,10,8.0,8.0,1.0,6.0,SMITH,0.8,High
PIPER PA30,10,10,7.0,7.0,1.0,9.0,PIPER,0.7,High
CESSNA 525A,10,10,4.0,4.0,3.0,33.0,CESSNA,0.4,Medium
BELLANCA 14-13,10,10,1.0,1.0,3.0,10.0,BELLANCA,0.1,Low
BEECH 95B55,10,10,11.0,11.0,1.0,6.0,BEECH,1.1,High
CESSNA P206B,10,10,10.0,10.0,9.0,13.0,CESSNA,1.0,High
PIPER PA22-150,10,10,4.0,4.0,8.0,10.0,PIPER,0.4,Medium
MITSUBISHI MU-2B-40,10,10,10.0,10.0,4.0,15.0,MITSUBISHI,1.0,High
RAVEN S55A,10,10,0.0,0.0,6.0,13.0,RAVEN,0.0,Low
ERCOUPE (ENG & RESEARCH CORP.) 415-CD,10,10,4.0,4.0,0.0,8.0,ERCOUPE (ENG & RESEARCH CORP.),0.4,Medium
PIPER PA24-250,10,10,1.0,1.0,2.0,11.0,PIPER,0.1,Low
CESSNA T210H,10,10,0.0,0.0,7.0,16.0,CESSNA,0.0,Low
CESSNA T210J,10,10,7.0,7.0,4.0,5.0,CESSNA,0.7,High
MOONEY AIRPLANE CO INC M20TN,10,10,1.0,1.0,2.0,8.0,MOONEY AIRPLANE CO INC,0.1,Low
NAVAL AIRCRAFT FACTORY N3N-3,10,10,2.0,2.0,2.0,11.0,NAVAL AIRCRAFT FACTORY,0.2,Medium
PIPER PA28-181,10,10,6.0,6.0,3.0,13.0,PIPER,0.6,High
GRUMMAN AA-1,10,10,5.0,5.0,3.0,5.0,GRUMMAN,0.5,Medium
MOONEY M-20F,10,10,2.0,2.0,5.0,19.0,MOONEY,0.2,Medium
BEECH BE-77,10,10,1.0,1.0,5.0,9.0,BEECH,0.1,Low
PIPER PA 16,10,10,0.0,0.0,0.0,12.0,PIPER,0.0,Low
BEECH C-45H,10,10,0.0,0.0,4.0,24.0,BEECH,0.0,Low
ENSTROM F28A,10,10,0.0,0.0,2.0,13.0,ENSTROM,0.0,Low
PIPER PA 18-135,10,10,0.0,0.0,1.0,11.0,PIPER,0.0,Low
PILATUS PC-12/45,10,10,27.0,27.0,2.0,25.0,PILATUS,2.7,High
GULFSTREAM AMERICAN AA-5A,10,10,9.0,9.0,5.0,5.0,GULFSTREAM AMERICAN,0.9,High
PITTS S-2A,10,10,3.0,3.0,3.0,12.0,PITTS,0.3,Medium
PIPER PA-39,10,10,4.0,4.0,1.0,13.0,PIPER,0.4,Medium
MAULE MXT-7-180A,10,10,2.0,2.0,1.0,12.0,MAULE,0.2,Medium
