Make,Model,per.Accident.Uninjured,per.A.Minor.Injuries,per.A.Serious.Injuries,per.Accident.Deaths,Aircraft.Accidents,Aircraft.Observations,per.Accident.Severity,Total.Severity,Total.Aircraft.Deaths,Accident.Rate,Mortality.Rate,Survival.Rate
BOEING,737-524,95.875,0.75,0.125,0.125,3,8,1.75,5.25,0.375,0.375,0.0012903225806451613,0.9987096774193548
AIRBUS INDUSTRIE,A319-114,95.0,0.0,0.0,0.0,2,4,0.0,0.0,0.0,0.5,0.0,1.0
BOEING,767,93.6029411764706,0.4411764705882353,1.8823529411764706,1.8823529411764706,29,68,15.5,449.5,54.588235294117645,0.4264705882352941,0.01924522628176214,0.9807547737182378
AIRBUS,A330,93.05882352941177,0.7058823529411765,9.735294117647058,9.735294117647058,10,34,78.58823529411765,785.8823529411766,97.35294117647058,0.29411764705882354,0.08597402597402598,0.914025974025974
MCDONNELL DOUGLAS,MD-81,93.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.5,0.0,1.0
BOEING,737-2M9,93.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,737-49R,93.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,1.0,0.0,1.0
DOUGLAS,DC9,92.66666666666667,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
MCDONNELL DOUGLAS,MD90,92.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
UNKNOWN,UNKNOWN,91.75,0.0,0.5,0.5,3,4,4.0,12.0,1.5,0.75,0.005390835579514825,0.9946091644204852
BOEING,737-4B7,91.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
AIRBUS INDUSTRIE,A300B4-605R,91.0,6.666666666666667,88.66666666666667,88.66666666666667,3,3,716.0,2148.0,266.0,1.0,0.32242424242424245,0.6775757575757575
BOEING,757-2Q8,91.0,9.0,0.0,0.0,1,2,9.0,9.0,0.0,0.5,0.0,1.0
BOEING,787,90.65384615384616,0.11538461538461539,0.0,0.0,6,26,0.11538461538461539,0.6923076923076923,0.0,0.23076923076923078,0.0,1.0
BOEING,737-2H4,90.42857142857143,0.0,0.0,0.0,3,7,0.0,0.0,0.0,0.42857142857142855,0.0,1.0
BOEING,727-232,90.3157894736842,3.5789473684210527,0.7368421052631579,0.7368421052631579,7,19,9.473684210526315,66.3157894736842,5.157894736842105,0.3684210526315789,0.00772626931567329,0.9922737306843267
BOEING,727,89.81481481481481,0.6666666666666666,3.037037037037037,3.037037037037037,14,27,24.962962962962962,349.48148148148147,42.51851851851852,0.5185185185185185,0.03145377828922133,0.9685462217107786
BOEING,B767-332,89.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
AIRBUS INDUSTRIE,A-320-232,89.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,1.0,0.0,1.0
"BOMBARDIER, INC.",CL-600-2D24,89.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,737-924,89.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BRITISH AEROSPACE,BA146-200A,87.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
AIRBUS INDUSTRIE,A319-111,86.6,0.2,0.0,0.0,2,5,0.2,0.4,0.0,0.4,0.0,1.0
BOEING,707-123B,86.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.5,0.0,1.0
BOEING,DC-10,86.0,0.5,0.0,0.0,2,2,0.5,1.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,DC-10-30F,85.5,11.5,9.333333333333334,9.333333333333334,4,6,86.16666666666667,344.6666666666667,37.333333333333336,0.6666666666666666,0.08069164265129684,0.9193083573487032
EMBRAER,EMB170,85.0,1.0,0.0,0.0,1,1,1.0,1.0,0.0,1.0,0.0,1.0
